"Artefacto","Version","Descripcion","OrigenDescripcion","RutaInstalacion","RutaVerificada","OrigenRuta","CapaEA","RolArquitectonico","RolId","Alineacion","AplicacionNegocio","EnCatalogoEA","Propietario","Criticidad","Publicador","ServiciosAsociados","PuertosExpuestos","FechaInstalacion"
"Microsoft Edge WebView2 Runtime","151.0.4129.78","Navegador de internet o motor de navegacion embebido.","Rol arquitectonico (generico)","C:\Program Files (x86)\Microsoft\EdgeWebView\Application","True","Registro: InstallLocation","Aplicacion","Navegador web","NavegadorWeb","NO ALINEADO","","False","","","Microsoft Corporation","","","2026-08-11"
"SMS-Agent-Py3","","Herramienta auxiliar de proposito general.","Rol arquitectonico (generico)","C:\SMS-Agent-Py3","True","Registro: UninstallString","Tecnologia","Utilitario de sistema","UtilitarioSistema","Alineado","","False","","","Huawei Technologies Co., Ltd.","","",""
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664","12.0.40664.0","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664","Metadatos del binario","C:\ProgramData\Package Cache\{042d26ef-3dbe-4c25-95d3-4c1b11b235a7}","True","Registro: DisplayIcon","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","",""
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211","14.44.35211.0","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211","Metadatos del binario","C:\ProgramData\Package Cache\{0b5169e3-39da-4313-808e-1f9c0407f3bf}","True","Registro: DisplayIcon","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","",""
"SAP Business One Client Agent","1.0.1.6","SAP Business One Client Agent","Metadatos del binario","C:\Program Files (x86)\SAP\SAP Business One Client Agent","True","Registro: InstallLocation","Aplicacion","Aplicacion de negocio","AplicacionNegocio","Alineado","SAP - Sistema de planificacion de recursos empresariales","True","DEFINIR","Alta","SAP","SBOClientAgent [Running]","","2023-10-12"
"vs_CoreEditorFonts","17.7.40001","IDE, compilador, SDK, biblioteca de componentes o utilitario de construccion de software.","Rol arquitectonico (generico)","","False","No determinada","Tecnologia","Herramienta de desarrollo","HerramientaDesarrollo","NO ALINEADO","","False","","","Microsoft Corporation","","","2025-11-03"
"Checkmk Agent 2.3","2.3.0p40","Recoleccion de metricas, inventario, telemetria o gestion remota corporativa.","Rol arquitectonico (generico)","","False","No determinada","Tecnologia","Agente de monitoreo y gestion","AgenteMonitoreo","Alineado","","False","","","Checkmk GmbH","","","2025-11-24"
"Browser for SQL Server 2019","15.0.2000.5","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2023-03-08"
"Tableau Bridge (20262.26.0603.1643)","26.2.783","Tableau Bridge (20262.26.0603.1643)","Metadatos del binario","C:\ProgramData\Package Cache\{638474c3-dd80-4475-9a0b-e8a70e5801df}","True","Registro: DisplayIcon","Aplicacion","Inteligencia de negocios y reporteria","HerramientaBI","Alineado","","False","","","Salesforce, Inc","","",""
"Microsoft Visual C++ 2005 Redistributable","8.0.61001","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2023-05-25"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005","12.0.21005.1","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005","Metadatos del binario","C:\ProgramData\Package Cache\{7f51bdb9-ee21-49ee-94d6-90afc321780e}","True","Registro: DisplayIcon","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","",""
"SSO.TRF.InstaladorAsientosContables","10.0.0","Traslado Asientos Contables","Registro: Comments","","False","No determinada","No determinada","Sin clasificar","SinClasificar","Sin clasificar","","False","","","REVCOM","","","2024-01-04"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664","12.0.40664.0","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664","Metadatos del binario","C:\ProgramData\Package Cache\{9dff3540-fc85-4ed5-ac84-9e3c7fd8bece}","True","Registro: DisplayIcon","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","",""
"Archivo redistribuible del SDK .NET de la plataforma de BI de SAP BusinessObjects de 64 bits 4.3 SP2 Patch 4","14.3.2.4272","POR VALIDAR: componentes SAP. El nombre del servidor (SRV-SAP) sugiere que este es su proposito principal; confirmar que modulos y componentes residen aqui.","Catalogo de arquitectura","C:\Program Files (x86)\SAP BusinessObjects\setup\icons","True","Registro: DisplayIcon","Aplicacion","Aplicacion de negocio","AplicacionNegocio","Alineado","SAP - Sistema de planificacion de recursos empresariales","True","DEFINIR","Alta","SAP","","",""
"SAP Crystal Reports for SAP Business One","14.3.2.4272","POR VALIDAR: componentes SAP. El nombre del servidor (SRV-SAP) sugiere que este es su proposito principal; confirmar que modulos y componentes residen aqui.","Catalogo de arquitectura","C:\Program Files (x86)\SAP BusinessObjects\setup\icons","True","Registro: DisplayIcon","Aplicacion","Aplicacion de negocio","AplicacionNegocio","Alineado","SAP - Sistema de planificacion de recursos empresariales","True","DEFINIR","Alta","SAP Business Objects","","",""
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005","12.0.21005.1","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005","Metadatos del binario","C:\ProgramData\Package Cache\{ce085a78-074e-4823-8dc1-8a721b94b76d}","True","Registro: DisplayIcon","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","",""
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211","14.44.35211.0","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211","Metadatos del binario","C:\ProgramData\Package Cache\{d8bbe9f9-7c5b-42c6-b715-9ee898a2e515}","True","Registro: DisplayIcon","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","",""
"Microsoft Visual Studio Tools for Applications 2019","16.0.31110","Microsoft Visual Studio Tools for Applications 2019","Metadatos del binario","C:\ProgramData\Package Cache\{f3fbabb4-bcfb-45eb-8fff-9b784fd68c38}","True","Registro: DisplayIcon","Tecnologia","Herramienta de desarrollo","HerramientaDesarrollo","NO ALINEADO","","False","","","Microsoft Corporation","","",""
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501","12.0.30501.0","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501","Metadatos del binario","C:\ProgramData\Package Cache\{f65db027-aff3-4070-886a-0d87064aabb1}","True","Registro: DisplayIcon","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","",""
"Microsoft Visual Studio Tools for Applications 2017","15.0.27520","Microsoft Visual Studio Tools for Applications 2017","Metadatos del binario","C:\ProgramData\Package Cache\{f895a2f1-ae3f-4212-8af1-7fa1f8c212ea}","True","Registro: DisplayIcon","Tecnologia","Herramienta de desarrollo","HerramientaDesarrollo","NO ALINEADO","","False","","","Microsoft Corporation","","",""
"[CATALOGO] REPOFEL - Repositorio de Factura Electronica en Linea","","POR VALIDAR: repositorio de documentos tributarios electronicos (FEL). Confirmar alcance, version y responsable con el area funcional antes de dar por buena esta descripcion.","Catalogo de arquitectura","","False","","Aplicacion","Aplicacion de negocio (declarada)","AplicacionNegocio","Declarada, NO detectada","REPOFEL - Repositorio de Factura Electronica en Linea","True","DEFINIR","Alta","","","",""
"[CATALOGO] SAP - Sistema de planificacion de recursos empresariales","","POR VALIDAR: componentes SAP. El nombre del servidor (SRV-SAP) sugiere que este es su proposito principal; confirmar que modulos y componentes residen aqui.","Catalogo de arquitectura","","False","","Aplicacion","Aplicacion de negocio (declarada)","AplicacionNegocio","Declarada y detectada","SAP - Sistema de planificacion de recursos empresariales","True","DEFINIR","Alta","","","",""
