"Nombre","Version","Descripcion","OrigenDescripcion","RutaInstalacion","RutaVerificada","OrigenRuta","RolArquitectonico","RolId","CapaEA","AplicacionNegocio","Propietario","Criticidad","EnCatalogoEA","Publicador","FechaInstalacion","DiasDesdeInstalacion","Arquitectura","TipoPaquete","TamanoMB","Ambitos","Origen","ClaveRegistro","Soporte","Riesgo","CategoriaRiesgo"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005","12.0.21005.1","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005","Metadatos del binario","C:\ProgramData\Package Cache\{7f51bdb9-ee21-49ee-94d6-90afc321780e}","True","Registro: DisplayIcon","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","",,"x86","MSI","0","Machine-x86","Registry:Uninstall","{7f51bdb9-ee21-49ee-94d6-90afc321780e}","","",""
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664","12.0.40664.0","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664","Metadatos del binario","C:\ProgramData\Package Cache\{042d26ef-3dbe-4c25-95d3-4c1b11b235a7}","True","Registro: DisplayIcon","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","",,"x86","MSI","20.6","Machine-x86","Registry:Uninstall","{042d26ef-3dbe-4c25-95d3-4c1b11b235a7}","","",""
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005","12.0.21005.1","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005","Metadatos del binario","C:\ProgramData\Package Cache\{ce085a78-074e-4823-8dc1-8a721b94b76d}","True","Registro: DisplayIcon","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","",,"x86","MSI","0","Machine-x86","Registry:Uninstall","{ce085a78-074e-4823-8dc1-8a721b94b76d}","","",""
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501","12.0.30501.0","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501","Metadatos del binario","C:\ProgramData\Package Cache\{f65db027-aff3-4070-886a-0d87064aabb1}","True","Registro: DisplayIcon","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","",,"x86","MSI","17.2","Machine-x86","Registry:Uninstall","{f65db027-aff3-4070-886a-0d87064aabb1}","","",""
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664","12.0.40664.0","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664","Metadatos del binario","C:\ProgramData\Package Cache\{9dff3540-fc85-4ed5-ac84-9e3c7fd8bece}","True","Registro: DisplayIcon","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","",,"x86","MSI","17.2","Machine-x86","Registry:Uninstall","{9dff3540-fc85-4ed5-ac84-9e3c7fd8bece}","","",""
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211","14.44.35211.0","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211","Metadatos del binario","C:\ProgramData\Package Cache\{d8bbe9f9-7c5b-42c6-b715-9ee898a2e515}","True","Registro: DisplayIcon","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","",,"x86","MSI","20.7","Machine-x86","Registry:Uninstall","{d8bbe9f9-7c5b-42c6-b715-9ee898a2e515}","","",""
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211","14.44.35211.0","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211","Metadatos del binario","C:\ProgramData\Package Cache\{0b5169e3-39da-4313-808e-1f9c0407f3bf}","True","Registro: DisplayIcon","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","",,"x86","MSI","18.2","Machine-x86","Registry:Uninstall","{0b5169e3-39da-4313-808e-1f9c0407f3bf}","","",""
"Microsoft VSS Writer for SQL Server 2019","15.0.2000.5","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","2023-03-08","1253","x64","MSI","2.1","Machine-x64","Registry:Uninstall","{2C33F4D4-E9A5-4DE1-ACFE-3A13464E6703}","","",""
"SQL Server Management Studio 21","21.6.17","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","C:\Program Files\Microsoft SQL Server Management Studio 21\Release","True","Registro: InstallLocation","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","2025-11-03","282","x86","EXE/Otro","0","Machine-x86","Registry:Uninstall","d5c0bf08","","",""
"Microsoft OneDrive","26.134.0713.0004","Microsoft OneDrive (64 bit) Setup","Metadatos del binario","C:\Program Files\Microsoft OneDrive\26.134.0713.0004","True","Registro: DisplayIcon","Sincronizacion en nube","AlmacenamientoNube","Datos","","","","False","Microsoft Corporation","",,"x64","EXE/Otro","605.7","Machine-x64","Registry:Uninstall","OneDriveSetup.exe","","",""
